사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,1호선,서울역,"43,763","112,497","74,004","237,172"
2023-03,1호선,시청,"8,529","75,421","11,367","210,492"
2023-03,1호선,종각,"6,671","114,672","11,140","285,466"
2023-03,1호선,종로3가,"5,610","27,245","9,700","76,204"
2023-03,1호선,종로5가,"6,502","43,928","10,619","106,094"
2023-03,1호선,동대문,"15,728","12,835","20,970","22,752"
2023-03,1호선,신설동,"22,348","25,354","33,819","60,619"
2023-03,1호선,제기동,"24,377","20,337","34,956","40,803"
2023-03,1호선,청량리(서울시립대입구),"40,847","18,163","49,664","38,941"
2023-03,1호선,동묘앞,"7,749","10,452","11,678","24,126"
2023-03,2호선,시청,"5,601","71,492","9,428","229,115"
2023-03,2호선,을지로입구,"11,186","134,019","20,488","355,132"
2023-03,2호선,을지로3가,"6,189","74,300","12,956","190,846"
2023-03,2호선,을지로4가,"5,451","36,163","10,994","85,337"
2023-03,2호선,동대문역사문화공원(DDP),"7,870","25,408","14,291","52,796"
2023-03,2호선,신당,"31,928","17,733","52,869","34,928"
2023-03,2호선,상왕십리,"44,187","13,768","72,753","35,188"
2023-03,2호선,왕십리(성동구청),"27,227","15,266","49,379","30,884"
2023-03,2호선,한양대,"5,992","13,730","9,069","83,759"
2023-03,2호선,뚝섬,"19,596","40,726","26,890","144,373"
2023-03,2호선,성수,"24,933","79,002","33,732","287,267"
2023-03,2호선,건대입구,"57,081","26,535","99,906","72,364"
2023-03,2호선,구의(광진구청),"73,086","16,739","125,237","41,532"
2023-03,2호선,강변(동서울터미널),"84,449","23,122","127,375","43,433"
2023-03,2호선,잠실나루,"42,875","24,475","52,132","41,126"
2023-03,2호선,잠실(송파구청),"130,053","84,446","182,519","181,408"
2023-03,2호선,잠실새내,"63,728","18,729","89,277","29,545"
2023-03,2호선,종합운동장,"18,731","18,447","25,340","28,583"
2023-03,2호선,삼성(무역센터),"15,252","148,514","21,211","365,642"
2023-03,2호선,선릉,"22,886","122,275","36,064","302,906"
2023-03,2호선,역삼,"16,938","159,154","28,164","398,023"
2023-03,2호선,강남,"41,961","161,569","68,731","316,742"
2023-03,2호선,교대(법원.검찰청),"29,251","62,786","41,353","169,163"
2023-03,2호선,서초,"19,903","54,221","31,016","120,990"
2023-03,2호선,방배,"24,623","29,081","34,861","89,603"
2023-03,2호선,사당,"80,836","51,583","105,808","75,783"
2023-03,2호선,낙성대(강감찬),"90,443","23,817","136,581","46,134"
2023-03,2호선,서울대입구(관악구청),"137,266","31,285","188,720","78,776"
2023-03,2호선,봉천,"90,129","13,495","129,625","25,889"
2023-03,2호선,신림,"203,085","29,227","294,603","46,762"
2023-03,2호선,신대방,"96,932","16,586","143,556","27,817"
2023-03,2호선,구로디지털단지,"151,275","83,814","201,815","246,837"
2023-03,2호선,대림(구로구청),"72,203","24,304","98,591","60,516"
2023-03,2호선,신도림,"152,128","44,627","157,768","121,016"
2023-03,2호선,문래,"47,917","38,660","53,449","138,689"
2023-03,2호선,영등포구청,"42,619","39,465","51,411","129,987"
2023-03,2호선,당산,"49,410","32,046","63,072","87,392"
2023-03,2호선,합정,"46,083","34,824","59,565","104,386"
2023-03,2호선,홍대입구,"67,590","40,835","88,394","115,078"
2023-03,2호선,신촌,"39,439","39,490","59,105","101,225"
2023-03,2호선,이대,"29,747","16,695","40,328","51,002"
2023-03,2호선,아현,"32,330","13,863","45,389","25,164"
2023-03,2호선,충정로(경기대입구),"17,604","25,251","23,984","67,502"
2023-03,2호선,용답,"9,464","1,921","14,708","4,581"
2023-03,2호선,신답,"7,000",998,"12,169","1,860"
2023-03,2호선,신설동,"4,989","5,547","9,659","14,829"
2023-03,2호선,도림천,"3,663","4,694","3,908","5,980"
2023-03,2호선,양천구청,"37,674","5,138","33,621","10,583"
2023-03,2호선,신정네거리,"55,358","5,205","49,867","12,323"
2023-03,2호선,용두(동대문구청),"5,483","2,637","10,068","6,155"
2023-03,3호선,지축,"30,535","6,219","29,195","9,207"
2023-03,3호선,구파발,"95,734","24,536","86,664","32,204"
2023-03,3호선,연신내,"133,964","25,289","152,561","37,554"
2023-03,3호선,불광,"56,678","12,075","67,012","34,457"
2023-03,3호선,녹번,"80,056","7,830","84,471","18,941"
2023-03,3호선,홍제,"72,949","11,894","76,359","28,040"
2023-03,3호선,무악재,"19,290","3,050","21,411","6,255"
2023-03,3호선,독립문,"16,811","16,598","19,690","21,130"
2023-03,3호선,경복궁(정부서울청사),"15,350","47,097","21,559","140,731"
2023-03,3호선,안국,"6,637","96,759","10,763","127,260"
2023-03,3호선,종로3가,"1,685","16,696","3,098","48,566"
2023-03,3호선,을지로3가,"2,775","36,425","5,758","88,121"
2023-03,3호선,충무로,1,0,0,0
2023-03,3호선,동대입구,"6,364","17,231","8,649","65,474"
2023-03,3호선,약수,"28,860","18,113","41,131","34,804"
2023-03,3호선,금호,"29,563","4,284","40,254","8,811"
2023-03,3호선,옥수,"26,139","9,377","33,556","14,710"
2023-03,3호선,압구정,"17,415","51,215","27,669","160,173"
2023-03,3호선,신사,"12,437","46,696","18,771","107,473"
2023-03,3호선,잠원,"13,647","6,939","19,172","9,674"
2023-03,3호선,고속터미널,"28,216","50,783","48,451","76,495"
2023-03,3호선,교대(법원.검찰청),"10,082","22,743","14,732","53,446"
2023-03,3호선,남부터미널(예술의전당),"33,403","67,126","48,035","166,573"
2023-03,3호선,양재(서초구청),"38,053","114,569","48,946","253,997"
2023-03,3호선,매봉,"19,338","24,629","23,638","78,573"
2023-03,3호선,도곡,"10,421","15,798","13,041","21,600"
2023-03,3호선,대치,"30,466","20,606","30,802","28,262"
2023-03,3호선,학여울,"4,940","3,738","5,614","9,962"
2023-03,3호선,대청,"32,593","20,933","37,830","29,700"
2023-03,3호선,일원,"27,672","36,745","26,353","26,759"
2023-03,3호선,수서,"38,146","39,804","49,843","58,389"
2023-03,3호선,가락시장,"22,601","13,237","23,757","30,629"
2023-03,3호선,경찰병원,"25,304","8,896","28,721","30,466"
